法令種別,法令番号,法令名,法令名読み,旧法令名,公布日,改正法令名,改正法令番号,改正法令公布日,施行日,施行日備考,法令ID,本文URL,未施行
法律,昭和二十一年法律第二十五号,労働関係調整法,ろうどうかんけいちょうせいほう,,昭和二十一年九月二十七日,行政不服審査法の施行に伴う関係法律の整備等に関する法律,平成二十六年法律第六十九号,平成二十六年六月十三日,平成二十八年四月一日,,321AC0000000025,https://laws.e-gov.go.jp/law/321AC0000000025/20160401_426AC0000000069,
勅令,昭和二十一年勅令第四百七十八号,労働関係調整法施行令,ろうどうかんけいちょうせいほうせこうれい,,昭和二十一年十月十二日,,平成二十年政令第二百三十一号,平成二十年七月十八日,平成二十年十月一日,,321IO0000000478,https://laws.e-gov.go.jp/law/321IO0000000478/20081001_420CO0000000231,
法律,昭和二十二年法律第四十九号,労働基準法,ろうどうきじゅんほう,,昭和二十二年四月七日,労働者災害補償保険法等の一部を改正する法律,令和八年法律第六十号,令和八年七月十七日,令和八年七月十七日,,322AC0000000049,https://laws.e-gov.go.jp/law/322AC0000000049/20260717_508AC0000000060,
法律,昭和二十二年法律第四十九号,労働基準法,ろうどうきじゅんほう,,昭和二十二年四月七日,労働者災害補償保険法等の一部を改正する法律,令和八年法律第六十号,令和八年七月十七日,令和九年四月一日,,322AC0000000049,https://laws.e-gov.go.jp/law/322AC0000000049/20270401_508AC0000000060,○
法律,昭和二十二年法律第四十九号,労働基準法,ろうどうきじゅんほう,,昭和二十二年四月七日,民法等の一部を改正する法律の施行に伴う関係法律の整備等に関する法律,令和八年法律第四十六号,令和八年六月二十四日,令和十年十二月二十三日,民法等の一部を改正する法律（令和八年法律第四十五号）の施行の日,322AC0000000049,https://laws.e-gov.go.jp/law/322AC0000000049/20281223_508AC0000000046,○
法律,昭和二十二年法律第五十号,労働者災害補償保険法,ろうどうしゃさいがいほしょうほけんほう,,昭和二十二年四月七日,労働者災害補償保険法等の一部を改正する法律,令和八年法律第六十号,令和八年七月十七日,令和八年七月十七日,,322AC0000000050,https://laws.e-gov.go.jp/law/322AC0000000050/20260717_508AC0000000060,
法律,昭和二十二年法律第五十号,労働者災害補償保険法,ろうどうしゃさいがいほしょうほけんほう,,昭和二十二年四月七日,労働者災害補償保険法等の一部を改正する法律,令和八年法律第六十号,令和八年七月十七日,令和九年四月一日,,322AC0000000050,https://laws.e-gov.go.jp/law/322AC0000000050/20270401_508AC0000000060,○
法律,昭和二十二年法律第五十号,労働者災害補償保険法,ろうどうしゃさいがいほしょうほけんほう,,昭和二十二年四月七日,労働者災害補償保険法等の一部を改正する法律,令和八年法律第六十号,令和八年七月十七日,令和十三年七月十六日,公布の日から起算して五年を超えない範囲内において政令で定める日,322AC0000000050,https://laws.e-gov.go.jp/law/322AC0000000050/20310716_508AC0000000060,○
法律,昭和二十二年法律第百四十一号,職業安定法,しょくぎょうあんていほう,,昭和二十二年十一月三十日,学校教育法の一部を改正する法律,令和六年法律第五十号,令和六年六月十四日,令和八年四月一日,,322AC0000000141,https://laws.e-gov.go.jp/law/322AC0000000141/20260401_506AC0000000050,
政令,昭和二十二年政令第百七十四号,労働基準監督機関令,ろうどうきじゅんかんとくきかんれい,,昭和二十二年八月三十一日,,平成十八年政令第十四号,平成十八年二月一日,平成十八年四月一日,,322CO0000000174,https://laws.e-gov.go.jp/law/322CO0000000174/20060401_418CO0000000014,
府省令,昭和二十二年厚生省令第二十三号,労働基準法施行規則,ろうどうきじゅんほうしこうきそく,,昭和二十二年八月三十日,労働者災害補償保険法施行規則等の一部を改正する省令,令和八年厚生労働省令第五十七号,令和八年三月三十一日,令和八年四月一日,,322M40000100023,https://laws.e-gov.go.jp/law/322M40000100023/20260401_508M60000100057,
